Mission name,Value,Organisation,Nation,Type (U/mass),Launch date,Status,Mission description,Link,Link_full,
"MISR-A (Modular Intelligence, Surveillance and Reconnaissance, Modular ISR, MISR-A-1)",模块化情报监视侦察A1,Space Systems Command,US,6U,6/12/23,Operational,,sat/misr.html,https://www.nanosats.eu/sat/misr.html,
MRC-100 (SMOG-2?),技术大学电协100号,Budapest University of Technology and Economics,Hungary,PocketQube 3p,6/12/23,Operational,"MRC-100 is the continuation of SMOG-P, SMOG-1 and ATL-1 spectrum monitoring PocketQube satellites.",sat/mrc-100.html,https://www.nanosats.eu/sat/mrc-100.html,
Outpost Mission 1 (Outpost Mission 0),前哨任务1号,Outpost,US,3U,6/12/23,"Retired, Operational","Trial the flight software, avionics, power system, and radiofrequency links that could support future reusable satellites.",sat/outpost-mission-0.html,https://www.nanosats.eu/sat/outpost-mission-0.html,
"Pleiades - Squared (PROVES - X, PROVES-Xmera, Pleiades Rapid Orbital Verification Experimental System)",方形昴宿星号,Cal Poly Pomona (Bronco Space),US,1U,6/12/23,No signal,Will run on the Lovelace architecture as well as carry Cosmic Watch as its payload. It will feature more of the modular design that was stated in evolution of PROVES.,sat/pleiades-squared.html,https://www.nanosats.eu/sat/pleiades-squared.html,
"ROM-2 (ROM2, HADES-C, Romanian Orbital Mission, Space Sparrow)",罗马轨道任务2号,RomSpace (International Computing High School of Bucharest),Romania,PocketQube 1p,6/12/23,"No signal, ?","Amateur radio mission with 2MP camera, SSDV image transmission and repeater.",sat/rom-2.html,https://www.nanosats.eu/sat/rom-2.html,
"SPEI-SATELLES (SpeiSat, “Guardian of Hope”)",希望号(梵蒂冈),Politecnico di Torino,Italy,3U,6/12/23,Operational,SpeiSat physically keeps a nanobook with the Holy Father's book in his shell and a file containing the messages of hope to be spread during his journey.,sat/spei-satelles-speisat.html,https://www.nanosats.eu/sat/spei-satelles-speisat.html,
Tiger-4 (Layan-23),老虎4号,OQ Technology,Luxembourg,6U,6/12/23,Operational,Provide 5G coverage for IoT devices based on NB-IoT,sat/tiger-oqtechnology.html,https://www.nanosats.eu/sat/tiger-oqtechnology.html,
"URESAT-1 (Hades-B, SO-120 Spain Oscar 120)",哈迪斯B,URE (Spanish Amateur Radio Union),Spain,PocketQube 1.5p,6/12/23,Semi-operational,FM repeater and improved from the GENESIS missions.,sat/uresat-1.html,https://www.nanosats.eu/sat/uresat-1.html,
"XVI (Link-16 CubeSat, AFRL-XVI)",拾陆号,Viasat,US,12U,6/12/23,"Unknown, ?",Test the first-ever Link 16-capable LEO spacecraft.,sat/xvi.html,https://www.nanosats.eu/sat/xvi.html,
"A-SEANSAT-PG1 (PG1, Penang1, KA CubeSat)",PG 1,Angkasa-X,Malaysia,6U,6/27/23,Operational,Earth Observation (EO) and Automatic Identification Systems (AIS) applications.,sat/a-seansat-pg1.html,https://www.nanosats.eu/sat/a-seansat-pg1.html,
"Akhmat-1 (RS41S, Space-PI, Space π)",太空派,Chechen State University,Russia,3U,6/27/23,Operational,Equipped with ADS-B module for aircraft location monitoring.,sat/akhmat-1.html,https://www.nanosats.eu/sat/akhmat-1.html,
"ArcCUBE-01 (RS25S, Space-PI, Space π)",太空派,Firon,Russia,3U,6/27/23,Operational,Designed for schoolchildren to conduct experiments on the organization of a secure transmission channel.,sat/arccube-01.html,https://www.nanosats.eu/sat/arccube-01.html,
Avion-Kaluga 650,卡卢加航空650,Lomonosov Moscow State University,Russia,6U,6/27/23,Operational,Study the temporal and spectral characteristics of electrons and gamma radiation.,sat/avion-kaluga650.html,https://www.nanosats.eu/sat/avion-kaluga650.html,
CSTP 1.1 (STC-1.1),CSTP 1.1,STC (Spetsialny Tekhnologichesky Center),Russia,3U,6/27/23,Operational,Radiowave propagation studies,sat/cstp.html,https://www.nanosats.eu/sat/cstp.html,
"Cube-SX-HSE-3 (RS42S, Space-PI, Space π)",太空派,HSE Tikhonov Moscow Institute of Electronics and Mathematics,Russia,3U,6/27/23,Operational,Designed to receive signals from AIS transmitters installed on ships for the purpose of subsequent analysis of the data received from the spacecraft.,sat/cube-sx-hse-3.html,https://www.nanosats.eu/sat/cube-sx-hse-3.html,
CubeBel-2 (BSUSat-2),白俄罗斯立方星2号,Belarusian State University,Belarus,3U,6/27/23,Operational,Educational mission with multispectral cameras and amateur radio payload.,sat/cubebel-2.html,https://www.nanosats.eu/sat/cubebel-2.html,
"Impuls-1 (Impulse-1, Pulse-1)",脉冲1号,National University of Science and Technology MISiS,Russia,6U,6/27/23,Operational,"Solar activity monitoring in soft X-ray range, laser and quantum communications development.",sat/impuls-1.html,https://www.nanosats.eu/sat/impuls-1.html,
"Khors 1 (Khors No. 1, Hors 1)",霍尔斯1号,Bauman Moscow State Technical University,Russia,6U,6/27/23,Operational,"Space weather, galactic rays studies, plasma thruster tests.",sat/khors.html,https://www.nanosats.eu/sat/khors.html,
"KuzGTU-1 (RS47S, Space-PI, Space π)",太空派,Kuzbass State Technical University (KuzGTU),Russia,3U,6/27/23,Operational,"The payload consists of the PV control board, three vibration sensors ocated in mutually perpendicular orientations on the MSC frame, and an electromechanical emulator of a part with internal stresses.",sat/kuzgtu-1.html,https://www.nanosats.eu/sat/kuzgtu-1.html,
"Monitor-2 (RS39S, Space-PI, Space π)",监视器2号,Moscow State University,Russia,3U,6/27/23,Operational,Kubsat SINP MSU for observations of cosmic flares in X-ray and gamma radiation.,sat/monitor-2.html,https://www.nanosats.eu/sat/monitor-2.html,
"Monitor-3 (RS-S, Space-PI, Space π)",监视器3号,Moscow State University,Russia,3U,6/27/23,Operational,Kubsat SINP MSU for observations of cosmic flares in X-ray and gamma radiation.,sat/monitor-3.html,https://www.nanosats.eu/sat/monitor-3.html,
"Monitor-4 (Space-PI, Space π)",监视器4号,Moscow State University,Russia,3U,6/27/23,Operational,Kubsat SINP MSU for observations of cosmic flares in X-ray and gamma radiation.,sat/monitor-4.html,https://www.nanosats.eu/sat/monitor-4.html,
"Nanosond-1 (RS49S, Space-PI, Space π, Nanoprobe-1)",太空派,Oryol State University,Russia,3U,6/27/23,Operational,Investigate the conditions and factors in space that affect the SC surface.,sat/nanosond-1.html,https://www.nanosats.eu/sat/nanosond-1.html,
Norbi 2 (Norby),诺比2号,Novosibirsk University,Russia,6U,6/27/23,Operational,"Solar corona observations with SOL telescope, avionics testing.",sat/norbi-2.html,https://www.nanosats.eu/sat/norbi-2.html,
PHI-Demo (Payload Hosting Initiative),荷载创新演示,Mohammed Bin Rashid Space Centre (MBRSC),United Arab Emirates,12U,6/27/23,"Operational, ?",A 12U modular satellite platform for payload hosting.,sat/phi-demo.html,https://www.nanosats.eu/sat/phi-demo.html,
"Polytech Universe-3 (Space-PI, Space π)",圣彼得堡理工宇宙3号,Peter the Great St.Petersburg Polytechnic University,Russia,3U,6/27/23,Operational,Creation of a three-dimensional non-stationary model of the distribution of the level of electromagnetic radiation near the Earth.,sat/polytech-universe-3.html,https://www.nanosats.eu/sat/polytech-universe-3.html,
"ReshUCube-2 (RS37S, Space-PI, Space π)",列舍特涅夫大学立方星2号,Siberian State University of Science and Technology,Russia,3U,6/27/23,Operational,"Flight experiments with promising network protocols for building inter-satellite networks, Internet of things networks, low-speed integrated Internet networks.",sat/reshucube-2.html,https://www.nanosats.eu/sat/reshucube-2.html,
SamSat-ION,萨马拉电离层探测卫星,Samara University,Russia,3U,6/27/23,Operational,"Study of the parameters of the upper ionosphere, the state of the plasma and the Earth's magnetic field along the motion trajectory.",sat/samsat-ion.html,https://www.nanosats.eu/sat/samsat-ion.html,
Saturn,土星号,Kuban Technological University,Russia,6U,6/27/23,"Unknown, ?",Space weather monitoring with AURA-3 detector.,sat/saturn-russia.html,https://www.nanosats.eu/sat/saturn-russia.html,
"Sirius-SINP-3U (Space-PI, Space π)",太空派,BG-Optics,Russia,3U,6/27/23,Operational,"Study of electrons, protons and gamma radiation in low earth orbit.",sat/sirius-sinp-3u.html,https://www.nanosats.eu/sat/sirius-sinp-3u.html,
SITRO-AIS 5 (KATYS),硅创AIS 5号,Sitronics Group,Russia,3U,6/27/23,Operational,Form the company's own constellations for AIS system for tracking ships and high-resolution optical remote sensing of the Earth.,sat/sitro-ais.html,https://www.nanosats.eu/sat/sitro-ais.html,
StratoSat TK-1-A (RS45S),平流层宇航卫星TK-1-A,Stratonautica,Russia,TinySat 1TU,6/27/23,Operational,"New TinySat picosatellite format,",sat/stratosat-tk1-a.html,https://www.nanosats.eu/sat/stratosat-tk1-a.html,
StratoSat TK-1-B,平流层宇航卫星TK-1-B,Stratonautica,Russia,TinySat 1TU,6/27/23,Operational,"New TinySat picosatellite format,",sat/stratosat-tk1-b.html,https://www.nanosats.eu/sat/stratosat-tk1-b.html,
StratoSat TK-1-D,平流层宇航卫星TK-1-D,Stratonautica,Russia,TinySat 2TU,6/27/23,"No signal, ?","New TinySat picosatellite format,",sat/stratosat-tk1-d.html,https://www.nanosats.eu/sat/stratosat-tk1-d.html,
StratoSat TK-1-E,平流层宇航卫星TK-1-E,Stratonautica,Russia,TinySat 2TU,6/27/23,Operational,"New TinySat picosatellite format,",sat/stratosat-tk1-e.html,https://www.nanosats.eu/sat/stratosat-tk1-e.html,
"StratoSat TK1 (RS52S, StratoSat-TK-1, Space-PI, Space π, StratoSat-TK1 )",平流层宇航卫星,Stratonautica,Russia,3U,6/27/23,Operational,Will deploy 6 PocketQube-type picosatellites called TinySat and has 3 cameras.,sat/stratosat-tk1.html,https://www.nanosats.eu/sat/stratosat-tk1.html,
"Svyatobor-1 (RS-S, Space-PI, Space π)",太空派,National Research Nuclear University MEPhI,Russia,3U,6/27/23,Operational,Modified plasma engine and 2 cameras to monitor forest fires.,sat/svyatobor-1.html,https://www.nanosats.eu/sat/svyatobor-1.html,
"UmKa-1 (UMKA-1, RS40S, UKMA-1, Space-PI, Space π)",太空派,MOU secondary school No. 29 named after P. I. Zabrodin,Russia,3U,6/27/23,Operational,Equipped with the electro-optical system for educational astronomical purposes.,sat/umka-1.html,https://www.nanosats.eu/sat/umka-1.html,
"UTMN-2 (RS27S, Space-PI, Space π)",秋明大学2号,Tyumen State University (UTMN),Russia,3U,6/27/23,Operational,Remote diagnostics of the troposphere and water bodies using satellite infrared thermometry with the possibility of using a satellite in the Smart City environment.,sat/utmn-2.html,https://www.nanosats.eu/sat/utmn-2.html,
"Vizard-meteo (RS38S, Space-PI, Space π)",维萨德气象卫星,NIS,Russia,3U,6/27/23,Operational,Receive data and analyze it to study environmental and weather phenomena in the waters of the Northern Polar Region.,sat/vizard-meteo.html,https://www.nanosats.eu/sat/vizard-meteo.html,
"Yareelo 3 (Yareelo No. 3, Yarilo 3)",亚里洛3号,Bauman Moscow State Technical University,Russia,3U,6/27/23,Operational,Space weather research.,sat/yareelo-3-4.html,https://www.nanosats.eu/sat/yareelo-3-4.html,
Zorkiy-2M,佐尔基2M,Sputnix,Russia,12U,6/27/23,Operational,"Multispectral camera with a higher resolution, as well as an increased data transfer rate to Earth.",sat/zorkiy-2m.html,https://www.nanosats.eu/sat/zorkiy-2m.html,
Starling1 A (Starling 1),椋鸟1号,NASA Ames Research Center,US,6U,7/18/23,Operational,"Test technologies for affordable, distributed spacecraft (“swarm”) missions.",sat/starling1.html,https://www.nanosats.eu/sat/starling1.html,
Galassia 2 (GALASSIA-2),银河2号(新加坡),National University of Singapore,Singapore,3U,7/30/23,Operational,Perform an inter-satellite link (ISL) with TeLEOS-1 and multispectral imagery.,sat/galassia-2.html,https://www.nanosats.eu/sat/galassia-2.html,
"NuLion (NULION, NuSpace LoRaWAN Internet-of-Things Network)",努离子,NuSpace,Singapore,3U,7/30/23,Operational,Seed satellite for a LEO equatorial constellation providing continuous LoRaWAN IoT services.,sat/nulion.html,https://www.nanosats.eu/sat/nulion.html,
ORB-12 Strider,轨道12-大步佬,Orbital Astronautics,UK,12U,7/30/23,"Unknown, ?",Test propulsion module for Aliena-Aurora and many internally developed subsystems.,sat/orbastro-strider.html,https://www.nanosats.eu/sat/orbastro-strider.html,
SCOOB-II (SCOOBII),史酷比2号,Nanyang Technological University,Singapore,3U,7/30/23,"No signal, ?",SCOOB-II utilizes a three-axis controlled reaction wheel assembly for attitude control.,sat/scoob-2.html,https://www.nanosats.eu/sat/scoob-2.html,
"NOUR 02 (NOOR, Noor 3)",努尔3号,Iran's Islamic Revolutionary Guards Corps (IRGC),Iran,6U,9/27/23,Operational,Provides the Iranian elite force with the capability to monitor Earth from space.,sat/nour-3.html,https://www.nanosats.eu/sat/nour-3.html,
ANSER A Leader (Advanced Nanosatellites Systems for Earth Observation Research),地球观测先进纳卫星系统,National Institute of Aerospace Technology (INTA),Spain,3U,10/9/23,Deployment failure,Constellation of 4 nanosatellites to monitor the quality of the water in reservoirs and swamps in Spain,sat/anser.html,https://www.nanosats.eu/sat/anser.html,
"CSC-1 (CubeSat Carrier, ISISpace IOD 1, ∑yndeo-1)",立方星搭载者1号,ISISpace,Netherlands,6U,10/9/23,Operational,Provide an In-Orbit Demonstration (IOD) and In-Orbit Verification (IOV) service in space.,sat/isispace-iod.html,https://www.nanosats.eu/sat/isispace-iod.html,
"CSC-2 (CubeSat Carrier, ISISpace IOD 2 Project2, ∑yndeo-2)",立方星搭载者2号,ISISpace,Netherlands,6U,10/9/23,Operational,Provide an In-Orbit Demonstration (IOD) and In-Orbit Verification (IOV) service in space.,sat/isispace-iod-2.html,https://www.nanosats.eu/sat/isispace-iod-2.html,
ESTCube-2,爱沙尼亚立方星2号,University of Tartu,Estonia,3U,10/9/23,Deployment failure,"Test CubeSat platform for Moon missions, deployment of 300 m tether for deorbiting and cameras.",sat/estcube-2.html,https://www.nanosats.eu/sat/estcube-2.html,
"MACSAT (Finch-1, MAChine SATellite)",MAC卫星,OQ Technology,Luxembourg,6U,10/9/23,Operational,Demonstrator for 5G NB-IoT constellation.,sat/macsat.html,https://www.nanosats.eu/sat/macsat.html,
"NESS (N3SS, Nanosat 3U for civil spectrum monitoring)",频谱监测3U立方星,CNES,France,3U,10/9/23,Operational,"Validate in orbit miniaturized technologies intended for the detection and localization of interfering transmitters,",sat/ness-n3ss.html,https://www.nanosats.eu/sat/ness-n3ss.html,
PRETTY (Passive REflecTomeTrY),被动反射剂量测定卫星,Beyond Gravity,Austria,3U,10/9/23,Operational,Demonstrate GNSS reflectometry at low grazing angles for altimetry for sea ice detection using a new software-defined GNSS receiver.,sat/pretty.html,https://www.nanosats.eu/sat/pretty.html,
"Proba-V Companion CubeSat (PVCC, Proba V-CC)",或许卫星V-CC,ESA (European Space Agency),Belgium,12U,10/9/23,Operational,Fly a cut-down version of the vegetation-monitoring instrument aboard the Earth-observing Proba-V with plans for constellation.,sat/proba-v-companion-cubesat.html,https://www.nanosats.eu/sat/proba-v-companion-cubesat.html,
BEAK,喙号,University of Tokyo,Japan,3U,11/10/23,"Unknown, ?",Dragsail and water resistojet propulsion demonstration.,sat/beak.html,https://www.nanosats.eu/sat/beak.html,
Clark sat-1 (Ambitious),克拉克卫星1号,CLARK NEXT TOKYO High School,Japan,1U,11/10/23,Operational,Educational mission with amateur radio payload and a camera.,sat/clark-sat-1.html,https://www.nanosats.eu/sat/clark-sat-1.html,
Alderbaran-1,毕宿五1号,Federal University of Maranhao,Brazil,1U,11/11/23,On spacecraft,Educational mission with a LoRa transmitter.,sat/alderbaran-1.html,https://www.nanosats.eu/sat/alderbaran-1.html,
"Barry (B1B2, Laura Orbot, Orbital Robot)",巴里1号,Rogue Space Systems,US,12U,11/11/23,Operational,"Building a fleet of Orbital Robots (Orbots™) equipped with sensors, cameras, robotics and artificial intelligence (AI) software to enable up-close inspections and assistanc",sat/rogue-space.html,https://www.nanosats.eu/sat/rogue-space.html,
Connecta T3.1,连接T3.1,Plan-S,Turkey,3U,11/11/23,Operational,Main mission is Inter-Satellite Link technology demonstration.,sat/connecta-t3.1.html,https://www.nanosats.eu/sat/connecta-t3.1.html,
Connecta T3.2,连接T3.2,Plan-S,Turkey,3U,11/11/23,Operational,Main mission is Inter-Satellite Link technology demonstration.,sat/connecta-t3.2.html,https://www.nanosats.eu/sat/connecta-t3.2.html,
